ComplexName,SubunitName,RegulatedGene,RegulationType,NumOfSubunits
p50-p65 NF(kappa)B complex,NFKB1,ALOX5AP,Unknown,2
p50-p65 NF(kappa)B complex,RELA,ALOX5AP,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,ALOX5AP,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,ALOX5AP,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,AMH,Activation,2
p50-p65 NF(kappa)B complex,RELA,AMH,Activation,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,AMH,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,AMH,Activation,3
hs4 enhancer complex (faster migrating complex),NFKB1,AR,Repression,5
hs4 enhancer complex (faster migrating complex),NFKB1,AR,Unknown,5
hs4 enhancer complex (faster migrating complex),POU2F1,AR,Unknown,5
hs4 enhancer complex (faster migrating complex),RELA,AR,Repression,5
hs4 enhancer complex (faster migrating complex),RELA,AR,Unknown,5
p50-p65 NF(kappa)B complex,NFKB1,AR,Repression,2
p50-p65 NF(kappa)B complex,NFKB1,AR,Unknown,2
p50-p65 NF(kappa)B complex,RELA,AR,Repression,2
p50-p65 NF(kappa)B complex,RELA,AR,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,AR,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,AR,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,AR,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,AR,Unknown,3
NFKB1-STAT3 complex,NFKB1,AR,Repression,2
NFKB1-STAT3 complex,NFKB1,AR,Unknown,2
NFKB1-STAT3 complex,STAT3,AR,Unknown,2
p50-p65 NF(kappa)B complex,NFKB1,BACE1,Repression,2
p50-p65 NF(kappa)B complex,RELA,BACE1,Repression,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BACE1,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BACE1,Repression,3
p50-p65 NF(kappa)B complex,NFKB1,BAX,Repression,2
p50-p65 NF(kappa)B complex,NFKB1,BAX,Unknown,2
p50-p65 NF(kappa)B complex,RELA,BAX,Repression,2
p50-p65 NF(kappa)B complex,RELA,BAX,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BAX,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BAX,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BAX,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BAX,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,BCL2,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,BCL2,Repression,2
p50-p65 NF(kappa)B complex,NFKB1,BCL2,Unknown,2
p50-p65 NF(kappa)B complex,RELA,BCL2,Activation,2
p50-p65 NF(kappa)B complex,RELA,BCL2,Repression,2
p50-p65 NF(kappa)B complex,RELA,BCL2,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BCL2,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BCL2,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BCL2,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BCL2,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BCL2,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BCL2,Unknown,3
NFKB1-STAT3 complex,NFKB1,BCL2,Activation,2
NFKB1-STAT3 complex,NFKB1,BCL2,Repression,2
NFKB1-STAT3 complex,NFKB1,BCL2,Unknown,2
NFKB1-STAT3 complex,STAT3,BCL2,Activation,2
NFKB1-STAT3 complex,STAT3,BCL2,Repression,2
NFKB1-STAT3 complex,STAT3,BCL2,Unknown,2
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,BCL2A1,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,BCL2A1,Unknown,5
NFKB1-NFKB2-REL-RELA-RELB complex,REL,BCL2A1,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELA,BCL2A1,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELA,BCL2A1,Unknown,5
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,BCL2A1,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,BCL2A1,Unknown,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",REL,BCL2A1,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELA,BCL2A1,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELA,BCL2A1,Unknown,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,NFKB1,BCL2A1,Activation,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,NFKB1,BCL2A1,Unknown,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,REL,BCL2A1,Activation,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,RELA,BCL2A1,Activation,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,RELA,BCL2A1,Unknown,12
p50-p65 NF(kappa)B complex,NFKB1,BCL2A1,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,BCL2A1,Unknown,2
p50-p65 NF(kappa)B complex,RELA,BCL2A1,Activation,2
p50-p65 NF(kappa)B complex,RELA,BCL2A1,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BCL2A1,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BCL2A1,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BCL2A1,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BCL2A1,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,BCL2L1,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,BCL2L1,Repression,2
p50-p65 NF(kappa)B complex,NFKB1,BCL2L1,Unknown,2
p50-p65 NF(kappa)B complex,RELA,BCL2L1,Activation,2
p50-p65 NF(kappa)B complex,RELA,BCL2L1,Repression,2
p50-p65 NF(kappa)B complex,RELA,BCL2L1,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BCL2L1,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BCL2L1,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BCL2L1,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BCL2L1,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BCL2L1,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BCL2L1,Unknown,3
NFKB1-STAT3 complex,NFKB1,BCL2L1,Activation,2
NFKB1-STAT3 complex,NFKB1,BCL2L1,Repression,2
NFKB1-STAT3 complex,NFKB1,BCL2L1,Unknown,2
NFKB1-STAT3 complex,STAT3,BCL2L1,Activation,2
NFKB1-STAT3 complex,STAT3,BCL2L1,Repression,2
NFKB1-STAT3 complex,STAT3,BCL2L1,Unknown,2
p50-p65 NF(kappa)B complex,NFKB1,BCL2L11,Repression,2
p50-p65 NF(kappa)B complex,RELA,BCL2L11,Repression,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BCL2L11,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BCL2L11,Repression,3
p50-p65 NF(kappa)B complex,NFKB1,BCL3,Activation,2
p50-p65 NF(kappa)B complex,RELA,BCL3,Activation,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BCL3,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BCL3,Activation,3
hs4 enhancer complex (faster migrating complex),NFKB1,BDKRB1,Unknown,5
hs4 enhancer complex (faster migrating complex),POU2F1,BDKRB1,Unknown,5
hs4 enhancer complex (faster migrating complex),RELA,BDKRB1,Unknown,5
hs4 enhancer complex (faster migrating complex),YY1,BDKRB1,Unknown,5
p50-p65 NF(kappa)B complex,NFKB1,BDKRB1,Unknown,2
p50-p65 NF(kappa)B complex,RELA,BDKRB1,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BDKRB1,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BDKRB1,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,BGN,Activation,2
p50-p65 NF(kappa)B complex,RELA,BGN,Activation,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BGN,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BGN,Activation,3
p50-p65 NF(kappa)B complex,NFKB1,BHMT,Repression,2
p50-p65 NF(kappa)B complex,RELA,BHMT,Repression,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BHMT,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BHMT,Repression,3
p50-p65 NF(kappa)B complex,NFKB1,BIRC2,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,BIRC2,Repression,2
p50-p65 NF(kappa)B complex,NFKB1,BIRC2,Unknown,2
p50-p65 NF(kappa)B complex,RELA,BIRC2,Activation,2
p50-p65 NF(kappa)B complex,RELA,BIRC2,Repression,2
p50-p65 NF(kappa)B complex,RELA,BIRC2,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BIRC2,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BIRC2,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BIRC2,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BIRC2,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BIRC2,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BIRC2,Unknown,3
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,BIRC3,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,BIRC3,Repression,5
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,BIRC3,Unknown,5
NFKB1-NFKB2-REL-RELA-RELB complex,REL,BIRC3,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELA,BIRC3,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELA,BIRC3,Repression,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELA,BIRC3,Unknown,5
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,BIRC3,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,BIRC3,Repression,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,BIRC3,Unknown,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",REL,BIRC3,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELA,BIRC3,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELA,BIRC3,Repression,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELA,BIRC3,Unknown,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,NFKB1,BIRC3,Activation,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,NFKB1,BIRC3,Repression,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,NFKB1,BIRC3,Unknown,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,REL,BIRC3,Activation,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,RELA,BIRC3,Activation,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,RELA,BIRC3,Repression,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,RELA,BIRC3,Unknown,12
p50-p65 NF(kappa)B complex,NFKB1,BIRC3,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,BIRC3,Repression,2
p50-p65 NF(kappa)B complex,NFKB1,BIRC3,Unknown,2
p50-p65 NF(kappa)B complex,RELA,BIRC3,Activation,2
p50-p65 NF(kappa)B complex,RELA,BIRC3,Repression,2
p50-p65 NF(kappa)B complex,RELA,BIRC3,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BIRC3,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BIRC3,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BIRC3,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BIRC3,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BIRC3,Repression,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BIRC3,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,BIRC5,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,BIRC5,Unknown,2
p50-p65 NF(kappa)B complex,RELA,BIRC5,Activation,2
p50-p65 NF(kappa)B complex,RELA,BIRC5,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BIRC5,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BIRC5,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BIRC5,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BIRC5,Unknown,3
NFKB1-STAT3 complex,NFKB1,BIRC5,Activation,2
NFKB1-STAT3 complex,NFKB1,BIRC5,Unknown,2
NFKB1-STAT3 complex,STAT3,BIRC5,Activation,2
NFKB1-STAT3 complex,STAT3,BIRC5,Unknown,2
p50-p65 NF(kappa)B complex,NFKB1,BMP2,Activation,2
p50-p65 NF(kappa)B complex,RELA,BMP2,Activation,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BMP2,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BMP2,Activation,3
p50-p65 NF(kappa)B complex,NFKB1,BRCA2,Activation,2
p50-p65 NF(kappa)B complex,RELA,BRCA2,Activation,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BRCA2,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BRCA2,Activation,3
p50-p65 NF(kappa)B complex,NFKB1,BTG2,Unknown,2
p50-p65 NF(kappa)B complex,RELA,BTG2,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,BTG2,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,BTG2,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,CARD8,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CARD8,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CARD8,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CARD8,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,CARM1,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CARM1,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CARM1,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CARM1,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,CASP3,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CASP3,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CASP3,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CASP3,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,CASP9,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CASP9,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CASP9,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CASP9,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,CCK,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CCK,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCK,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCK,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,CCL11,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,CCL11,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CCL11,Activation,2
p50-p65 NF(kappa)B complex,RELA,CCL11,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL11,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL11,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL11,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL11,Unknown,3
NFKB1-STAT3 complex,NFKB1,CCL11,Activation,2
NFKB1-STAT3 complex,NFKB1,CCL11,Unknown,2
NFKB1-STAT3 complex,STAT3,CCL11,Activation,2
NFKB1-STAT3 complex,STAT3,CCL11,Unknown,2
hs4 enhancer complex (faster migrating complex),NFKB1,CCL13,Unknown,5
hs4 enhancer complex (faster migrating complex),RELA,CCL13,Unknown,5
hs4 enhancer complex (faster migrating complex),YY1,CCL13,Unknown,5
p50-p65 NF(kappa)B complex,NFKB1,CCL13,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CCL13,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL13,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL13,Unknown,3
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,CCL19,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,CCL19,Unknown,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELA,CCL19,Unknown,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELB,CCL19,Activation,5
NFKB1-NFKB2-RELA-RELB complex,NFKB1,CCL19,Activation,4
NFKB1-NFKB2-RELA-RELB complex,NFKB1,CCL19,Unknown,4
NFKB1-NFKB2-RELA-RELB complex,RELA,CCL19,Unknown,4
NFKB1-NFKB2-RELA-RELB complex,RELB,CCL19,Activation,4
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,CCL19,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,CCL19,Unknown,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELA,CCL19,Unknown,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELB,CCL19,Activation,12
p50-p65 NF(kappa)B complex,NFKB1,CCL19,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,CCL19,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CCL19,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL19,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL19,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL19,Unknown,3
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,CCL2,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,CCL2,Unknown,5
NFKB1-NFKB2-REL-RELA-RELB complex,REL,CCL2,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELA,CCL2,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELA,CCL2,Unknown,5
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,CCL2,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,CCL2,Unknown,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",REL,CCL2,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELA,CCL2,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELA,CCL2,Unknown,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,NFKB1,CCL2,Activation,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,NFKB1,CCL2,Unknown,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,REL,CCL2,Activation,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,RELA,CCL2,Activation,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,RELA,CCL2,Unknown,12
p50-p65 NF(kappa)B complex,NFKB1,CCL2,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,CCL2,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CCL2,Activation,2
p50-p65 NF(kappa)B complex,RELA,CCL2,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL2,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL2,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL2,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL2,Unknown,3
NFKB1-STAT3 complex,NFKB1,CCL2,Activation,2
NFKB1-STAT3 complex,NFKB1,CCL2,Unknown,2
NFKB1-STAT3 complex,STAT3,CCL2,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,CCL20,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CCL20,Activation,2
p50-p65 NF(kappa)B complex,RELA,CCL20,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL20,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL20,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL20,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,CCL22,Activation,2
p50-p65 NF(kappa)B complex,RELA,CCL22,Activation,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL22,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL22,Activation,3
p50-p65 NF(kappa)B complex,NFKB1,CCL3,Activation,2
p50-p65 NF(kappa)B complex,NFKB1,CCL3,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CCL3,Activation,2
p50-p65 NF(kappa)B complex,RELA,CCL3,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL3,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL3,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL3,Activation,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL3,Unknown,3
p50-p65 NF(kappa)B complex,NFKB1,CCL4,Unknown,2
p50-p65 NF(kappa)B complex,RELA,CCL4,Unknown,2
p50-p65 NF(kappa)B-SRC1 complex,NFKB1,CCL4,Unknown,3
p50-p65 NF(kappa)B-SRC1 complex,RELA,CCL4,Unknown,3
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,CCL5,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1,CCL5,Unknown,5
NFKB1-NFKB2-REL-RELA-RELB complex,REL,CCL5,Unknown,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELA,CCL5,Activation,5
NFKB1-NFKB2-REL-RELA-RELB complex,RELA,CCL5,Unknown,5
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,CCL5,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",NFKB1,CCL5,Unknown,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",REL,CCL5,Unknown,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELA,CCL5,Activation,12
"TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)",RELA,CCL5,Unknown,12
CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,NFKB1,CCL5,Activation,12
